,ccode,country,cname,cmark,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
3871,517,RWANDA,RWANDA,0,1999,1,1,1,0,0,NA,NA,,NA,NA,,NA,NA,-6,0.627984643,2,0.606999993,6.40828228,9.000236511,sub-saharan africa,0,0,0,1,0,0,0,0,73.3999939,4.309455872,3569,0,0,0.12921083,0.180000067,0.899999976,0.100000001,1,0.506799996,65,25,1,0,-6,0,0,0,0.12921083,1,0,0.606850326,9.000236511,4.309455872,0,NA,0,0,0,0,NA,NA,NA,0,0
4042,541,MOZAMBIQUE,MOZAMBIQ,0,1995,1,1,1,0,0,NA,NA,,NA,NA,,15820,9.66903019,6,0.804650247,2,0.791000009,6.67391634,9.643420219,sub-saharan africa,0,0,0,1,0,0,0,0,2.400000334,1.223775506,2436,0,0,0.654930055,0.765281975,0.384000003,0.237000003,18,0.620000005,50,30,20,0,6,1,0,1,0.654930055,1,0,0.791489184,9.643420219,1.223775506,0,6,0,0,0,0,NA,NA,NA,0,0
4043,541,MOZAMBIQUE,MOZAMBIQ,0,1996,0,0,1,0,0,NA,NA,,NA,NA,,16230,9.694616318,6,0.840010285,2,0.805000007,6.690407753,9.66903019,sub-saharan africa,0,0,0,1,0,0,0,0,2.400000334,1.223775506,2436,0,0,0.654930055,0.765281975,0.384000003,0.237000003,18,0.620000005,50,30,20,0,6,1,0,1,0.654930055,1,0,0.804650247,9.66903019,1.223775506,0,6,0,0,0,0,NA,NA,NA,0,0
4044,541,MOZAMBIQUE,MOZAMBIQ,0,1997,0,0,0,0,0,NA,NA,,NA,NA,,16630,9.718963623,6,0.910515666,2,0.839999974,6.733414173,9.694616318,sub-saharan africa,0,0,0,1,0,0,0,0,2.400000334,1.223775506,2436,0,0,0.654930055,0.765281975,0.384000003,0.237000003,18,0.620000005,50,30,20,0,6,1,0,1,0.654930055,0,0,0.840010285,9.694616318,1.223775506,0,6,0,0,0,0,NA,NA,NA,0,0
4045,541,MOZAMBIQUE,MOZAMBIQ,0,1998,0,0,0,0,0,NA,NA,,NA,NA,,16947,9.737846375,6,0.998824,2,0.911000013,6.814011097,9.718963623,sub-saharan africa,0,0,0,1,0,0,0,0,2.400000334,1.223775506,2436,0,0,0.654930055,0.765281975,0.384000003,0.237000003,18,0.620000005,50,30,20,0,6,0,0,1,0.654930055,0,0,0.910515666,9.718963623,1.223775506,0,6,0,0,0,0,NA,NA,NA,0,0
4046,541,MOZAMBIQUE,MOZAMBIQ,0,1999,0,0,0,0,0,NA,NA,,NA,NA,,NA,NA,6,1.051045537,2,0.999000013,6.906578541,9.737846375,sub-saharan africa,0,0,0,1,0,0,0,0,2.400000334,1.223775506,2436,0,0,0.654930055,0.765281975,0.384000003,0.237000003,18,0.620000005,50,30,20,0,6,0,0,1,0.654930055,0,0,0.998824,9.737846375,1.223775506,0,NA,0,0,0,0,NA,NA,NA,0,0
4078,551,ZAMBIA,ZAMBIA,0,1995,0,0,0,0,0,NA,NA,,NA,NA,,8980,9.102755547,6,0.583427668,2,0.61500001,6.421191692,9.07574749,sub-saharan africa,0,0,0,1,0,0,1,0,0.200000003,0.182321563,1972,0,0,0.818216383,0.725800037,0.430000007,0.189999998,21,0.454999983,65,35,1,0,6,0,0,1,0.818216383,0,0,0.614735305,9.07574749,0.182321563,0,6,0,0,0,0,NA,NA,NA,0,0
4079,551,ZAMBIA,ZAMBIA,0,1996,0,0,0,0,0,NA,NA,,NA,NA,,9214.400391,9.128522873,1,0.606061578,2,0.583000004,6.368920326,9.102755547,sub-saharan africa,0,0,0,1,0,0,1,0,0.200000003,0.182321563,1972,0,0,0.818216383,0.725800037,0.430000007,0.189999998,21,0.454999983,65,35,1,0,6,0,0,1,0.818216383,0,0,0.583427668,9.102755547,0.182321563,0,6,0,0,0,0,NA,NA,NA,0,0
4080,551,ZAMBIA,ZAMBIA,0,1997,0,0,0,0,0,NA,NA,,NA,NA,,9443.209961,9.153051376,1,0.610879362,2,0.606000006,6.406981468,9.128522873,sub-saharan africa,0,0,0,1,0,0,1,0,0.200000003,0.182321563,1972,0,0,0.818216383,0.725800037,0.430000007,0.189999998,21,0.454999983,65,35,1,0,1,1,1,0,0.818216383,0,0,0.606061578,9.128522873,0.182321563,0,1,0,0,0,0,NA,NA,NA,0,0
4081,551,ZAMBIA,ZAMBIA,0,1998,0,0,0,0,0,NA,NA,,NA,NA,,9665.709961,9.176340103,1,0.585603356,2,0.611000001,6.414899349,9.153051376,sub-saharan africa,0,0,0,1,0,0,1,0,0.200000003,0.182321563,1972,0,0,0.818216383,0.725800037,0.430000007,0.189999998,21,0.454999983,65,35,1,0,1,1,1,0,0.818216383,0,0,0.610879362,9.153051376,0.182321563,0,1,0,0,0,0,NA,NA,NA,0,0
4082,551,ZAMBIA,ZAMBIA,0,1999,0,0,0,0,0,NA,NA,,NA,NA,,NA,NA,1,0.58681047,2,0.586000025,6.372642517,9.176340103,sub-saharan africa,0,0,0,1,0,0,1,0,0.200000003,0.182321563,1972,0,0,0.818216383,0.725800037,0.430000007,0.189999998,21,0.454999983,65,35,1,0,1,1,1,0,0.818216383,0,0,0.585603356,9.176340103,0.182321563,0,NA,0,0,0,0,NA,NA,NA,0,0
4113,552,ZIMBABWE,ZIMBABWE,0,1995,0,0,0,0,0,NA,NA,,NA,NA,,11011,9.306650162,-6,1.174520969,2,1.197000027,7.087743759,9.285018921,sub-saharan africa,0,0,0,1,0,0,1,0,2.900000095,1.360976577,2430,0,0,0.543950438,0.36620003,0.769999981,0.200000003,11,0.509799957,50,49,1,0,-6,0,0,0,0.543950438,0,0,1.197203755,9.285018921,1.360976577,0,-6,0,0,0,0,NA,NA,NA,0,0
4114,552,ZIMBABWE,ZIMBABWE,0,1996,0,0,0,0,0,NA,NA,,NA,NA,,11242.07031,9.327418327,-6,1.267225266,2,1.174999952,7.068615913,9.306650162,sub-saharan africa,0,0,0,1,0,0,1,0,2.900000095,1.360976577,2430,0,0,0.543950438,0.36620003,0.769999981,0.200000003,11,0.509799957,50,49,1,0,-6,0,0,0,0.543950438,0,0,1.174520969,9.306650162,1.360976577,0,-6,0,0,0,0,NA,NA,NA,0,0
4115,552,ZIMBABWE,ZIMBABWE,0,1997,0,0,0,0,0,NA,NA,,NA,NA,,11468.09961,9.347324371,-6,1.277309418,2,1.26699996,7.144585133,9.327418327,sub-saharan africa,0,0,0,1,0,0,1,0,2.900000095,1.360976577,2430,0,0,0.543950438,0.36620003,0.769999981,0.200000003,11,0.509799957,50,49,1,0,-6,0,0,0,0.543950438,0,0,1.267225266,9.327418327,1.360976577,0,-6,0,0,0,0,NA,NA,NA,0,0
4116,552,ZIMBABWE,ZIMBABWE,0,1998,0,0,0,0,0,NA,NA,,NA,NA,,11688.58984,9.366368294,-6,1.299340248,2,1.27699995,7.15251112,9.347324371,sub-saharan africa,0,0,0,1,0,0,1,0,2.900000095,1.360976577,2430,0,0,0.543950438,0.36620003,0.769999981,0.200000003,11,0.509799957,50,49,1,0,-6,0,0,0,0.543950438,0,0,1.277309418,9.347324371,1.360976577,0,-6,0,0,0,0,NA,NA,NA,0,0
4117,552,ZIMBABWE,ZIMBABWE,0,1999,0,0,0,0,0,NA,NA,,NA,NA,,NA,NA,-6,1.276620626,2,1.299000025,7.169611931,9.366368294,sub-saharan africa,0,0,0,1,0,0,1,0,2.900000095,1.360976577,2430,0,0,0.543950438,0.36620003,0.769999981,0.200000003,11,0.509799957,50,49,1,0,-6,0,0,0,0.543950438,0,0,1.299340248,9.366368294,1.360976577,0,NA,0,0,0,0,NA,NA,NA,0,0
4149,553,MALAWI,MALAWI,0,1995,0,0,0,0,0,NA,NA,,NA,NA,,9757,9.185740471,7,0.525044203,2,0.462000012,6.136209488,9.158321381,sub-saharan africa,0,0,0,1,0,0,1,0,8.800001144,2.282382488,2965,0,0,0.620269656,0.82889998,0.280000001,0.189999998,9,0.61500001,55,20,20,0,7,1,0,1,0.620269656,0,0,0.462297976,9.158321381,2.282382488,0,7,0,0,0,0,NA,NA,NA,0,0
4150,553,MALAWI,MALAWI,0,1996,0,0,0,0,0,NA,NA,,NA,NA,,10016,9.211938858,7,0.548889399,2,0.524999976,6.263482571,9.185740471,sub-saharan africa,0,0,0,1,0,0,1,0,8.800001144,2.282382488,2965,0,0,0.620269656,0.82889998,0.280000001,0.189999998,9,0.61500001,55,20,20,0,7,1,0,1,0.620269656,0,0,0.525044203,9.185740471,2.282382488,0,7,0,0,0,0,NA,NA,NA,0,0
4151,553,MALAWI,MALAWI,0,1997,0,0,0,0,0,NA,NA,,NA,NA,,10276.08984,9.237575531,7,0.555281937,2,0.549000025,6.307897091,9.211938858,sub-saharan africa,0,0,0,1,0,0,1,0,8.800001144,2.282382488,2965,0,0,0.620269656,0.82889998,0.280000001,0.189999998,9,0.61500001,55,20,20,0,7,1,0,1,0.620269656,0,0,0.548889399,9.211938858,2.282382488,0,7,0,0,0,0,NA,NA,NA,0,0
