,final.withoutWars.WarName,WarEndStatus,DidAtrocityHappen,EthnFrac,RelFrac,InternationalAlly,InternationalOppo,Polity,African,Log.Mountainous,Log.Population,LogGDP.perCap,WarLength,Deaths,LogDeaths
79,NPL,1,1,0.69923687,0.186200023,0,0,-6,0,4.3134799,10.13893308,5.660875341,490,5,1.609437912
80,NPL,1,1,0.69923687,0.186200023,0,0,-6,0,4.3134799,10.1519201,5.759183116,133,11,2.397895273
81,NPL,1,1,0.69923687,0.186200023,0,0,6,0,4.3134799,10.16356528,5.854015357,0,6,1.791759469
82,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,920,13,2.564949357
83,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,917,48,3.871201011
84,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,899,13,2.564949357
85,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,727,8,2.079441542
86,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,722,8,2.079441542
87,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.92357909,6.476672046,679,14,2.63905733
88,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.94412113,6.567333177,416,17,2.833213344
89,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.96459959,6.772817495,238,17,2.833213344
90,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.96459959,6.772817495,237,12,2.48490665
91,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.96459959,6.772817495,227,9,2.197224577
92,PAK,1,1,0.644509017,0.36619997,1,0,-5,0,3.784189701,11.96459959,6.772817495,179,30,3.401197382
93,PHL,1,1,0.74517715,0.299600005,0,0,8,0,3.104586601,11.26435601,6.945928306,275,10,2.302585093
94,PHL,1,1,0.74517715,0.299600005,0,0,8,0,3.104586601,11.3652863,7.085648005,232,10,2.302585093
95,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1489,25,3.218875825
96,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1484,298,5.697093487
97,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1463,40000,10.59663473
98,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1460,41,3.713572067
99,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1456,29,3.36729583
100,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1445,20,2.995732274
101,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1440,27,3.295836866
102,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1435,40,3.688879454
103,RUS,1,1,0.333092988,0.445599973,0,0,3,0,2.721295357,11.89764171,7.193499072,1383,41,3.713572067
104,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89407407,7.479630809,1337,363,5.894402834
105,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89407407,7.479630809,1336,62,4.127134385
106,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89407407,7.479630809,1197,6,1.791759469
107,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89407407,7.479630809,1028,22,3.091042453
108,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89009304,7.649865174,974,51,3.931825633
109,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89009304,7.649865174,907,5,1.609437912
110,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89009304,7.649865174,834,10,2.302585093
111,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89009304,7.649865174,819,5,1.609437912
112,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89009304,7.649865174,779,9,2.197224577
113,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89009304,7.649865174,710,6,1.791759469
114,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.89009304,7.649865174,644,10,2.302585093
115,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.88583213,7.772777577,413,11,2.397895273
116,RUS,1,1,0.333092988,0.445599973,0,0,6,0,2.721295357,11.88583213,7.772777577,345,128,4.852030264
117,RWA,1,1,0.12921083,0.506799996,0,0,-6,1,4.309455872,8.782994926,5.648543242,547,2000,7.60090246
118,RWA,1,1,0.12921083,0.506799996,0,0,-6,1,4.309455872,8.782994926,5.648543242,472,918,6.822197391
119,RWA,1,1,0.12921083,0.506799996,0,0,-6,1,4.309455872,8.782994926,5.648543242,347,75,4.317488114
120,RWA,1,1,0.12921083,0.506799996,0,0,-6,1,4.309455872,8.782994926,5.648543242,349,300,5.703782475
121,RWA,1,1,0.12921083,0.506799996,0,0,-6,1,4.309455872,8.782994926,5.648543242,349,539,6.289715571
122,RWA,1,1,0.12921083,0.506799996,0,0,-6,1,4.309455872,8.782994926,5.648543242,349,150,5.010635294
123,RWA,1,1,0.12921083,0.506799996,0,0,-6,1,4.309455872,8.782994926,5.648543242,333,5500,8.612503371
124,RWA,1,1,0.12921083,0.506799996,0,0,-6,1,4.309455872,8.862173843,5.641141397,40,7,1.945910149
125,SCG,1,1,0.423846006,0.641799986,0,0,-6,0,2.667228222,9.178190251,7.78989715,302,12,2.48490665
126,SCG,1,1,0.423846006,0.641799986,0,0,-6,0,2.667228222,9.178190251,7.78989715,312,130,4.86753445
127,SCG,1,1,0.423846006,0.641799986,0,0,-6,0,2.667228222,9.178190251,7.78989715,178,14,2.63905733
128,SCG,1,1,0.423846006,0.641799986,0,0,-6,0,2.667228222,9.178190251,7.78989715,177,17,2.833213344
129,SCG,1,1,0.423846006,0.641799986,0,0,-6,0,2.667228222,9.167361261,7.800339372,66,45,3.80666249
130,SCG,1,1,0.423846006,0.641799986,0,0,-6,0,2.667228222,9.167361261,7.800339372,53,24,3.17805383
131,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.28997179,6.169063319,1224,300,5.703782475
132,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.28997179,6.169063319,1205,46,3.828641396
133,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.28997179,6.169063319,1186,81,4.394449155
134,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.28997179,6.169063319,1129,60,4.094344562
135,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.28997179,6.169063319,1116,30,3.401197382
136,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.28997179,6.169063319,1109,40,3.688879454
137,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.28997179,6.169063319,1096,25,3.218875825
138,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.28997179,6.169063319,1092,19,2.944438979
139,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,1074,200,5.298317367
140,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,1064,45,3.80666249
141,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,1045,100,4.605170186
142,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,1045,75,4.317488114
143,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,1034,80,4.382026635
144,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,1004,6,1.791759469
145,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,971,32,3.465735903
146,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,946,6,1.791759469
147,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,935,56,4.025351691
148,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,927,20,2.995732274
149,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,924,24,3.17805383
150,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,940,204,5.318119994
151,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,776,27,3.295836866
152,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,742,100,4.605170186
153,SDN,1,1,0.735070288,0.444999993,0,0,-6,1,2.014903069,10.31514482,6.336926515,735,17,2.833213344
154,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.33889695,6.521730961,682,100,4.605170186
155,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.33889695,6.521730961,681,20,2.995732274
156,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.33889695,6.521730961,505,7,1.945910149
157,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.33889695,6.521730961,420,5,1.609437912
158,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.36113592,6.795570827,276,27,3.295836866
159,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.36113592,6.795570827,243,6,1.791759469
160,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.36113592,6.795570827,29,15,2.708050201
161,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.36113592,6.795570827,28,8,2.079441542
162,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.36113592,6.795570827,26,50,3.912023005
163,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.36113592,6.795570827,26,6,1.791759469
164,SDN,1,1,0.735070288,0.444999993,0,0,-4,1,2.014903069,10.36113592,6.795570827,0,8,2.079441542
165,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,510,8,2.079441542
166,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,451,10,2.302585093
167,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,368,5,1.609437912
168,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,348,8,2.079441542
169,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,300,6,1.791759469
170,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,292,10,2.302585093
171,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,280,5,1.609437912
172,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,270,6,1.791759469
173,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,224,23,3.135494216
174,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,224,6,1.791759469
175,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,205,80,4.382026635
176,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,185,5,1.609437912
177,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,184,5,1.609437912
178,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,161,5,1.609437912
179,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.309153138,5.883389796,153,6,1.791759469
180,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.338669908,5.904514077,125,17,2.833213344
181,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.338669908,5.904514077,92,5,1.609437912
182,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.338669908,5.904514077,64,28,3.33220451
183,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.338669908,5.904514077,44,200,5.298317367
184,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.338669908,5.904514077,42,21,3.044522438
185,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.338669908,5.904514077,32,17,2.833213344
186,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.338669908,5.904514077,27,5,1.609437912
187,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.338669908,5.904514077,25,13,2.564949357
188,SOM,1,1,0.076742947,0,1,1,0,1,2.610069752,9.338669908,5.904514077,25,12,2.48490665
189,TCD,1,1,0.826272845,0.625,0,0,-2,1,2.251291752,9.217018921,6.492606646,367,100,4.605170186
